"","Country.Name","account","digital_payment","umpi_access_account","umpi_buy_smt_online","umpi_pay_bills","a_wra","a_pct_currentlymarried","a_pct_formerlymarried","a_pct_nevermarried","a_allpreg","a_allpreg_birth","a_allpreg_abortion","a_allpreg_miscar","a_allpreg_stillbirth","a_ipreg","a_ipreg_birth","a_ipreg_miscar","a_ipreg_stillbirth","a_upreg","a_upreg_birth","a_upreg_abortion","a_upreg_miscar","a_upreg_stillbirth","a_pct_upreg","a_pct_upreg_larcster","a_pct_upreg_sarc","a_pct_upreg_trad","a_pct_upreg_nouse","a_pct_matdeaths_abortions","a_pct_matdeaths_safeabs","a_pct_matdeaths_unsafeabs","a_pct_matdeaths_miscar","a_pct_matdeaths_ectopic","a_pct_matdeaths_hem","a_pct_matdeaths_hyptn","a_pct_matdeaths_inf","a_pct_matdeaths_other","a_pct_matdeaths_indirect","a_rate_matdeaths","a_rate_matdeaths_ipreg","a_rate_matdeaths_upreg","a_rate_matdeaths_nonabs","a_rate_matdeaths_upreg_nonabs","a_rate_matdeaths_abs","a_rate_matdeaths_safeabs","a_rate_matdeaths_unsafeabs","a_inneed","a_modmethods","a_femster","a_malester","a_iud","a_implant","a_inj","a_pill","a_condom","a_patchring","a_ecp","a_femcondom","a_lam","a_fabm","a_othersup","a_unmetneed","a_tradmethods","a_nomethod","a_noneed","a_dem_satisfied","a_anc_less4","a_anc_4plus","a_facility_delivery_yes","a_facility_delivery_no","a_sba_delivery","a_csection","a_upreg_no_cp","a_upreg_birth_no_cp","a_upreg_abortion_no_cp","a_upreg_miscar_no_cp","a_upreg_stillbirth_no_cp","a_upreg_all_cp","a_upreg_births_all_cp","a_upreg_abortion_all_cp","a_upreg_miscar_all_cp","a_upreg_stillbirth_all_cp","a_maternaldeath_no_cp_no_prnc","a_maternaldeath","a_maternaldeath_all_cp_curr_prnc","a_maternaldeath_curr_cp_all_prnc","a_maternaldeath_all_cp_all_prnc","a_pac_curr","a_pac_all_cp_all_prnc","a_pac_all_cp_all_prnc_safeab","avg_technology","pct_mod_inneed","pct_trad_inneed","avg_autonomy","autonomy_levels"
"79","Thailand",79.78,62.16,14.89,17.41,8.8,2177.11200438714,0.155263976873416,0.0171199346494348,0.827616086462032,126.466234199309,95.1715870826147,11.1457542728834,19.6706436624916,0.478249181319672,87.3708628323808,72.8090523603173,14.216174908324,0.345635563739455,39.0953713669287,22.3625347222974,11.1457542728834,5.45446875416761,0.132613617580217,0.309136834938208,0.0015460654205667,0.392939626827742,0.0916696238641962,0.513844683887495,0.255122665698291,0.0090157528627146,0.246106912835576,0.0025221433707511,0.0249380836119347,0.105317651161305,0.147381819545259,0.112749830653731,0.253215001612153,0.0987528043465749,15.4830888118049,20.238556709518,65.8936991472298,11.5330019208938,11.5503855885361,33.7290800889853,2,80.5323106987442,328.879062861331,258.146016543805,4.61106888685081,0,1.49238159424412,1.53717088563189,78.4505226315902,150.752885271717,19.6529597190416,0,0,0.0512076692909975,1.59781988543851,0,0,70.7330463175267,16.024573936498,54.7084723810287,1848.23294152581,0.784926879497493,0.061934307217598,0.938065692782402,0.991353750228882,0.0086462497711182,0.994006872177124,0.19003589451313,118.464013072385,67.7613618453784,33.773071689028,16.5277431881161,0.401836349862336,19.989912492965,11.4342208959744,5.69895219799606,2.78893253290991,0.0678068660845751,83.1575931942839,14.7355013516055,11.6360827322126,9.05437295673417,7.32082555229447,2.99367001631864,1.53069786950904,0.170968565939882,36.608,78.4926879497493,21.5073120502507,39.785,"between 40-50%"
"80","Togo",37.59,23.16,16.5,0.26,4.9,430.098,0.108004677073597,0.0051009872450468,0.886894335681356,69.0371955265409,37.7230091620959,21.6087132109325,8.36966148096773,1.33581167254471,27.8726537554274,23.2272114628562,4.00606738107568,0.639374911495557,41.1645417711135,14.4957976992397,21.6087132109325,4.36359409989205,0.696436761049153,0.596266135336972,0.0002367699231428,0.219889119908166,0.0424327793878915,0.7374413307808,0.0575797513431224,0.0013030044336041,0.0562767469095182,0.0002575427044634,0.0755208249135956,0.0546411105491251,0.137335332914178,0.202771861142527,0.162273693617029,0.30961988281596,133.937417129234,217.526000552985,348.550836479909,126.225333955392,127.777286720063,13.4632257546218,2,15.5232723044137,108.734727791514,53.2207776018928,0,0,0,2.57021073791916,3.69815060669099,3.0183812303077,43.541544868893,0,0,0,0,0,0.392490158081923,55.5139501896214,4.99333459780462,50.5206155918167,321.363272208486,0.489455196907627,0.604290032460762,0.395709967539238,0.733314630848098,0.266685369151902,0.555975018485451,0.088118257285269,64.0820471912503,22.5660326161909,33.6389164107466,6.79293467148389,1.08416349282894,17.2069530563558,6.05930492102016,9.03253377375596,1.82400084158164,0.291113519997992,78.4484503446054,50.5252241351355,38.052143139859,28.8110757231211,21.7017164154122,11.4651484782102,4.79248069237954,0.270976013212679,16.482,48.9455196907627,51.0544803092373,11.71,"between 10-20%"
"81","Tunisia",28.36,21.31,3.6,5,2.79,378.408000049898,0.0088490798280122,0.0011164370827633,0.990034482957363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0019990560124723,0.0988683805355201,0.12881110474495,0.770321458707058,0.17862091593387,0.0033796294245566,0.175241286509314,0.0002201366813629,0.0225709542300828,0.0654435553579485,0.128881338260276,0.201759370504368,0.284427594757003,0.118076134275089,176.143773585623,222.477435491192,845.778499116652,144.680811411711,146.454819382433,30.43653181047,2,41.9355815248782,4.0071919001005,1.12070455851417,0.0072011674834955,0,0.0884891000853239,0.0005212890324203,0.0276289889220342,0.272620364393107,0.714992284414501,0,0,0.0092513641832833,0,0,0,2.88648734158633,0.628099976399195,2.25838736518714,374.400808149797,0.27967329403068,0.141701020300388,0.858298979699612,0.881603300571442,0.118396699428558,0.881603300571442,0,5.25164619263399,0.788544646768558,3.91399328773793,0.532301506186801,0.0168067519407037,1.47814541951958,0.221946341195354,1.10164528189559,0.149823313359722,0.0047304830689085,8.99920939574065,5.2047393576378,4.03416625067579,2.89845841953995,2.25627638632823,1.37603649374362,0.496290082556995,0.0330493584568678,12.212,27.967329403068,72.032670596932,13.155,"between 10-20%"
"82","Turkmenistan",35.52,29.04,2.73,1.48,0,236.581999869168,0.0593787405963624,0.0020209436342915,0.938600316322354,7.0255861754871,5.48931769225444,0.398549949801602,1.0427862844297,0.0949322490013485,6.47453332634637,5.39544443862197,0.989048748644381,0.0900401390800133,0.551052849140731,0.0938732536324737,0.398549949801602,0.0537375357853197,0.0048921099213352,0.0784351419762531,0.0028962478031815,0.022017294178506,0.0133076593458744,0.961778798672438,0.159432438005006,0.0110099213176408,0.148422516687365,0.0065862429155472,0.0339296365616056,0.125385634345416,0.105393018853357,0.17087596060152,0.319419044984393,0.0789780237331545,5.56650655004802,5.66335604727924,325.506166099888,4.67902483960303,4.91174042133459,12.2234843013355,2,19.6894765090789,3.61519836719104,0.43417634711859,0.00090097771495,0,0.143519368404671,0,0.0026942840897714,0.172497507837652,0.11308488517922,0,0,0.0014793238923252,0,0,0,3.18102202007245,0.0709928104147509,3.1100292096577,232.966801501977,0.120097516932643,0.0243083126842976,0.975691687315702,0.987450540065765,0.0125494599342346,1,0.0870977267622948,0.611313679619759,0.104138839288155,0.442133702249066,0.0596140475198463,0.0054270905626912,0.0908765284280585,0.0154810476266808,0.0657266102509468,0.008862091369391,0.0008067791810398,0.692897738676388,0.305563228892289,0.261030198561571,0.198921599168298,0.175533258575551,0.147980344610275,0.0244040839544505,0.0019717983075284,13.754,12.0097516932643,87.9902483067357,15.26,"between 10-20%"
"83","Uganda",52.71,47.61,37.9,1.22,5.05,2531.91795887065,0.198173486049212,0.0286265900458106,0.773199940149324,434.97975984419,292.11281904036,76.7676154506888,59.8333711142772,6.2659542388637,181.195057656046,150.995881380039,27.3364139772114,2.86276229879631,253.784702188143,141.116937660321,76.7676154506888,32.4969571370657,3.40319194006739,0.583440255424871,0.0008057926638581,0.133992530174583,0.0242084172644407,0.840993259897118,0.13634673295274,0.0005170492298926,0.135829683722848,0.0001489310336992,0.0220893197738977,0.115022377249134,0.196947462194307,0.188501304451011,0.15783159813949,0.183112274205722,243.120305631911,470.334403793082,503.260338706033,209.971646244528,210.524008916655,126.135848875975,2,165.157157350405,664.808126071119,306.909413969298,0,0,2.54287830666351,25.5766310220721,131.358593513697,11.0856745599616,123.076513395861,0,3.63685931372303,4.1757960525079,4.36731415921092,1.08915364560209,0,357.898712101821,16.4566751031743,341.442036998647,1867.10983279953,0.461651116966741,0.409169523027662,0.590830476972338,0.806440048429884,0.193559951570116,0.816747570575691,0.076002974634155,411.420255423232,228.770158469647,124.450968417869,52.6820816642353,5.51704687148091,70.4280938350748,39.1615288138665,21.3038720531227,9.01826913470515,0.944423833380428,1421.22848921339,710.185578440914,425.58530087708,331.601831005619,195.39915044192,36.7949569718725,10.2110121686982,0.639116161593682,28.898,46.1651116966741,53.8348883033259,24.415,"between 20-30%"
"84","Ukraine",61.32,59.32,16.71,18,22.81,947.768005619629,0.050894250717468,0.0068486862912666,0.942257057061936,40.2780636685189,21.5748545813141,13.0802165190381,5.43144825792091,0.191544310245726,23.4471335856139,19.5392779880116,3.77473653405949,0.133119063542831,16.8309300829049,2.0355765933025,13.0802165190381,1.65671172386142,0.058425246702896,0.417868401555259,0.0004836669062263,0.608039665563134,0.111984792980972,0.279491874549668,0.116655019322701,0.0562461394827316,0.0604088798399689,0.002089137999931,0.0361218427145277,0.0967712175699918,0.0819974334084195,0.063371912852002,0.494118475931432,0.108874960200996,18.4944320842246,20.4211579888444,196.020471100907,16.336963752077,16.7434908017449,3.55858524682108,2,12.9682283379387,165.116523767353,133.92281151438,0,0,0.503310623788809,0,0,14.2677133042863,118.347618309735,0,0,0,0.804169276570752,0,0,31.1937122529723,12.2375327498049,18.9561795031674,782.651481852276,0.811080614215668,0.0786762200295925,0.921323779970407,1,0,1,0.0480041727423668,39.8227964651076,4.81627289549239,30.9484263550152,3.91986024870372,0.138236965896275,12.6314679486692,1.52768268709509,9.81658974923193,1.2433478683032,0.0438476440390125,21.8848171762148,3.99014682781135,3.78896871760126,3.44006337233422,3.2520892346517,0.130802165190381,0.0981658974923193,0.0981658974923193,35.632,81.1080614215668,18.8919385784331,38.66,"between 40-50%"
"85","Uzbekistan",35.97,32.71,5.15,0.44,3.64,1240.79599915242,0.0371374847529142,0.0004059582220184,0.96245655770816,38.6561315289167,29.4341344616755,3.03197288627823,5.83252457211667,0.357499608846261,33.9538863942747,28.2949053285623,5.33215140264224,0.326829663070216,4.70224513464193,1.13922913311323,3.03197288627823,0.500373169474424,0.0306699457760454,0.121642930853658,0.0667180940203523,0.137877336655873,0.0837353269095171,0.711669242414257,0.0983318916253921,0.0039922944769086,0.0943395971484835,0.0017304944068792,0.0216816202141849,0.0657821663566646,0.326640719009675,0.0961941269217236,0.313638034977229,0.0760009464882522,21.7798067976451,22.6567205080581,562.722408686401,19.6381571959971,19.9701482740865,20.7909518683331,2,34.5135826358817,16.429115878298,10.7946648054076,0.547616131771907,0,6.65283120527727,0,0.0175297688380719,0.629795724066135,1.70737059841295,0,0,0.0096248966348972,1.22989648040635,0,0,5.63445107289041,0.936208465370227,4.69824260752018,1224.36688327412,0.657044778633936,0.198887437702243,0.801112562297757,0.975199043750763,0.0248009562492371,0.994539022445679,0.134845129355374,11.428962836981,2.76893421171006,7.36931071175355,1.2161735925707,0.0745443209466656,1.45145603309458,0.351649254980883,0.935888115561385,0.154451678897344,0.0094669836549716,14.6175844543314,6.41069761831201,5.81762077307291,3.43745032767541,3.13638632013071,1.12576200996591,0.347492317904886,0.0280766434668416,15.582,65.7044778633936,34.2955221366064,16.575,"between 10-20%"
"86","Zambia",40.28,34.84,24.81,3.93,7.82,1026.583,0.151318342403878,0.0176291102002804,0.831052547395841,169.653459241241,120.299850976153,22.9942164271422,23.7914550741806,2.56793676376428,78.5080827578431,65.4234022982026,11.809968501148,1.27471195849254,91.1453764833975,54.8764486779509,22.9942164271422,11.9814865730327,1.29322480527174,0.537244432804593,0.0006147483225703,0.100844521669179,0.0094966174418829,0.889044112566368,0.238364848627121,0.0006942236787994,0.237670624948322,0.0002741358367217,0.0178113174575895,0.073852850475916,0.211562787460312,0.118950324152358,0.151064609880703,0.188119126109279,131.698187042065,242.165214868766,288.708046104953,100.305968623317,100.52766841191,164.236046466385,2,215.233907859041,244.913915336345,109.72391788212,0,0,0.301427487756654,11.4502990431394,54.2111609194517,18.1549056990823,20.5905225588901,0,0,0.441009732581246,4.20783048723858,0,0.36676195398037,135.189997454225,2.27194368163665,132.918053772588,781.669084663655,0.44801014156927,0.501328829205148,0.498671170794852,0.77343308771976,0.22656691228024,0.735335093283518,0.0590898296993933,148.790003358835,89.5828982021982,37.5368413783606,19.5591427259077,2.11112105236804,21.4849075050488,12.9355483463947,5.4202268085229,2.82429170547649,0.304840644654743,331.574438644382,158.4327227499,87.4076877795897,78.8037400727231,42.5195104625244,11.021199487199,2.59793157604976,0.162606804255687,22.336,44.801014156927,55.198985843073,19.385,"between 10-20%"
"87","Zimbabwe",51.66,48.64,43.14,2.28,5.3,801.392,0.188146411993132,0.0315492148652951,0.780304373141573,90.4728252810926,65.6689986076596,10.6091154108192,12.8134764542436,1.38123480837021,49.4716181886949,41.2263484905791,7.44295302532563,0.802316672790187,41.0012070923977,24.4426501170805,10.6091154108192,5.37052342891799,0.578918135580026,0.453188092280857,0.0015454413391351,0.279206164083603,0.0110626427030324,0.708185751874229,0.0742190698604058,0.0002529273919774,0.0739661424684284,0.0001181821252603,0.0429589597510817,0.0816457000728547,0.164971564175863,0.150747087324878,0.126529071087201,0.358810365602456,305.526305171337,486.669502478125,820.844156128533,282.850426983634,283.589404342975,140.360638514419,2,183.853418441226,135.525464523632,95.1214889776799,0,0,0.185780714713838,11.7127568181567,17.1635205469509,55.4876668554708,10.3370323872967,0,0,0.234731655091056,0,0,0,40.4039755459516,0.982398866323258,39.4215766796284,665.866535476369,0.701871705896965,0.273345772423587,0.726654227576413,0.825373980593515,0.174626019406485,0.827733790852121,0.0449775847355143,99.5530117422934,59.3479950147533,25.7594706587177,13.0399034539758,1.4056426148466,17.0565895454304,10.1681945487627,4.41341462446834,2.23414919382109,0.240831178378288,444.364653598721,200.636065088999,151.458896385439,111.124335525102,83.8608271573259,5.08498202997418,2.11536336322256,0.13240243873405,30.204,70.1871705896965,29.8128294103035,25.46,"between 20-30%"
